Device ID, Warm?, Sync, Arm, Timestamp, Orientation_W, Orientation_X, Orientation_Y, Orientation_Z, Acc_X, Acc_Y, Acc_Z, Gyro_X, Gyro_Y, Gyro_Z, Pose, EMG_1, EMG_2, EMG_3, EMG_4, EMG_5, EMG_6, EMG_7, EMG_8,Locked, RSSI, Roll, Pitch, Yaw 
1757856854048,cold,True,right,2025-02-21 12:30:12 673093,0.93365478515625,-0.2664794921875,-0.192626953125,0.14208984375,0.271484375,-0.52734375,0.75537109375,-2.8125,-1.5625,-3.1875,rest,16,12,14,5,-4,4,4,21,False,0,-0.6138901750104456,-0.28792796126811643,0.3938927993316569
1757856854048,cold,True,right,2025-02-21 12:30:12 673093,0.93365478515625,-0.2664794921875,-0.192626953125,0.14208984375,0.271484375,-0.52734375,0.75537109375,-2.8125,-1.5625,-3.1875,rest,-45,-30,-20,-42,-30,-12,-11,-4,False,0,-0.6138901750104456,-0.28792796126811643,0.3938927993316569
1757856854048,cold,True,right,2025-02-21 12:30:12 682106,0.93365478515625,-0.2664794921875,-0.192626953125,0.14208984375,0.271484375,-0.52734375,0.75537109375,-2.8125,-1.5625,-3.1875,rest,8,1,12,12,25,9,3,-2,False,0,-0.6138901750104456,-0.28792796126811643,0.3938927993316569
1757856854048,cold,True,right,2025-02-21 12:30:12 682106,0.93365478515625,-0.2664794921875,-0.192626953125,0.14208984375,0.271484375,-0.52734375,0.75537109375,-2.8125,-1.5625,-3.1875,rest,10,-2,11,7,8,2,-8,-23,False,0,-0.6138901750104456,-0.28792796126811643,0.3938927993316569
1757856854048,cold,True,right,2025-02-21 12:30:12 682106,0.9334716796875,-0.26702880859375,-0.19281005859375,0.14166259765625,0.26171875,-0.53857421875,0.75244140625,-3.3125,-1.0,-2.375,rest,-5,21,-38,13,-15,-7,2,22,False,0,-0.6150222495271658,-0.28828609730718957,0.3933318715848122
1757856854048,cold,True,right,2025-02-21 12:30:12 682106,0.9334716796875,-0.26702880859375,-0.19281005859375,0.14166259765625,0.26171875,-0.53857421875,0.75244140625,-3.3125,-1.0,-2.375,rest,9,-39,25,-18,-4,2,4,-15,False,0,-0.6150222495271658,-0.28828609730718957,0.3933318715848122
1757856854048,cold,True,right,2025-02-21 12:30:12 696168,0.9334716796875,-0.26702880859375,-0.19281005859375,0.14166259765625,0.26171875,-0.53857421875,0.75244140625,-3.3125,-1.0,-2.375,rest,15,25,-32,-3,-2,0,6,18,False,0,-0.6150222495271658,-0.28828609730718957,0.3933318715848122
1757856854048,cold,True,right,2025-02-21 12:30:12 697086,0.9334716796875,-0.26702880859375,-0.19281005859375,0.14166259765625,0.26171875,-0.53857421875,0.75244140625,-3.3125,-1.0,-2.375,rest,-20,-3,-4,-38,-9,-6,-13,-21,False,0,-0.6150222495271658,-0.28828609730718957,0.3933318715848122
1757856854048,cold,True,right,2025-02-21 12:30:12 720091,0.93341064453125,-0.2674560546875,-0.19293212890625,0.141357421875,0.2890625,-0.55615234375,0.755859375,-1.6875,0.75,-1.3125,rest,50,7,29,25,17,7,5,13,False,0,-0.6159347103842009,-0.2885432588195695,0.3929565511471854
1757856854048,cold,True,right,2025-02-21 12:30:12 720091,0.93341064453125,-0.2674560546875,-0.19293212890625,0.141357421875,0.2890625,-0.55615234375,0.755859375,-1.6875,0.75,-1.3125,rest,-26,19,12,29,21,5,3,12,False,0,-0.6159347103842009,-0.2885432588195695,0.3929565511471854
1757856854048,cold,True,right,2025-02-21 12:30:12 720091,0.93341064453125,-0.2674560546875,-0.19293212890625,0.141357421875,0.2890625,-0.55615234375,0.755859375,-1.6875,0.75,-1.3125,rest,-5,-32,-9,-22,-10,0,10,18,False,0,-0.6159347103842009,-0.2885432588195695,0.3929565511471854
1757856854048,cold,True,right,2025-02-21 12:30:12 720091,0.93341064453125,-0.2674560546875,-0.19293212890625,0.141357421875,0.2890625,-0.55615234375,0.755859375,-1.6875,0.75,-1.3125,rest,19,5,-4,13,-6,-7,-11,-16,False,0,-0.6159347103842009,-0.2885432588195695,0.3929565511471854
1757856854048,cold,True,right,2025-02-21 12:30:12 720091,0.93353271484375,-0.2672119140625,-0.1929931640625,0.1409912109375,0.298828125,-0.54150390625,0.75341796875,1.5,1.5,-1.5,rest,-36,-6,-11,-19,-12,-6,-6,-11,False,0,-0.6153675284018864,-0.28898744296710854,0.39220771434352886
1757856854048,cold,True,right,2025-02-21 12:30:12 720091,0.93353271484375,-0.2672119140625,-0.1929931640625,0.1409912109375,0.298828125,-0.54150390625,0.75341796875,1.5,1.5,-1.5,rest,65,52,17,-30,-16,-4,5,11,False,0,-0.6153675284018864,-0.28898744296710854,0.39220771434352886
1757856854048,cold,True,right,2025-02-21 12:30:12 741085,0.93353271484375,-0.2672119140625,-0.1929931640625,0.1409912109375,0.298828125,-0.54150390625,0.75341796875,1.5,1.5,-1.5,rest,-43,-13,16,29,19,7,-7,-14,False,0,-0.6153675284018864,-0.28898744296710854,0.39220771434352886
1757856854048,cold,True,right,2025-02-21 12:30:12 741085,0.93353271484375,-0.2672119140625,-0.1929931640625,0.1409912109375,0.298828125,-0.54150390625,0.75341796875,1.5,1.5,-1.5,rest,-4,-1,7,43,30,3,-3,-17,False,0,-0.6153675284018864,-0.28898744296710854,0.39220771434352886
1757856854048,cold,True,right,2025-02-21 12:30:12 742085,0.9337158203125,-0.2667236328125,-0.19287109375,0.1407470703125,0.3046875,-0.51025390625,0.74853515625,1.5625,2.8125,-0.0625,rest,-15,-35,-18,-35,-20,-8,7,23,False,0,-0.61419376618795,-0.28910287251315725,0.3914810476846312
1757856854048,cold,True,right,2025-02-21 12:30:12 742085,0.9337158203125,-0.2667236328125,-0.19287109375,0.1407470703125,0.3046875,-0.51025390625,0.74853515625,1.5625,2.8125,-0.0625,rest,13,30,3,4,-6,-2,-1,-11,False,0,-0.61419376618795,-0.28910287251315725,0.3914810476846312
1757856854048,cold,True,right,2025-02-21 12:30:12 755771,0.9337158203125,-0.2667236328125,-0.19287109375,0.1407470703125,0.3046875,-0.51025390625,0.74853515625,1.5625,2.8125,-0.0625,rest,7,49,24,2,-11,-5,0,-14,False,0,-0.61419376618795,-0.28910287251315725,0.3914810476846312
1757856854048,cold,True,right,2025-02-21 12:30:12 755771,0.9337158203125,-0.2667236328125,-0.19287109375,0.1407470703125,0.3046875,-0.51025390625,0.74853515625,1.5625,2.8125,-0.0625,rest,13,-2,-32,-35,-30,-10,-8,8,False,0,-0.61419376618795,-0.28910287251315725,0.3914810476846312
1757856854048,cold,True,right,2025-02-21 12:30:12 763832,0.933837890625,-0.26666259765625,-0.1925048828125,0.140380859375,0.29833984375,-0.50439453125,0.74853515625,-0.75,4.0625,-0.375,rest,-36,-18,-7,39,25,2,-6,-13,False,0,-0.6137351812885761,-0.2886601420667615,0.3904493391776928
